date,start,end,duration_minutes,hours_slept,sleep_efficiency,bedtime_minutes,sleep_index
2021-11-27,2021-11-27 01:00:00,2021-11-27 10:28:00,567.0,9.45,0.9541446208112875,60.0,1.9499999999999993
2021-11-28,2021-11-28 02:33:00,2021-11-28 12:00:00,566.0,9.433333333333334,0.9134275618374559,153.0,1.9333333333333336
2021-11-29,2021-11-29 02:43:00,2021-11-29 07:59:00,317.0,5.283333333333333,0.9463722397476341,163.0,-2.216666666666667
2021-11-30,2021-11-30 02:18:00,2021-11-30 07:40:00,322.0,5.366666666666666,0.9627329192546584,138.0,-2.1333333333333337
2021-12-01,2021-12-01 01:36:00,2021-12-01 09:04:00,449.0,7.483333333333333,0.9576837416481069,96.0,-0.016666666666666607
2021-12-02,2021-12-02 00:42:00,2021-12-02 07:09:00,387.0,6.45,0.9715762273901809,42.0,-1.0499999999999998
2021-12-03,2021-12-03 02:21:00,2021-12-03 11:14:00,534.0,8.9,0.9549718574108818,141.0,1.4000000000000004
2021-12-04,2021-12-04 15:00:00,2021-12-04 17:54:00,175.0,2.9166666666666665,0.9542857142857143,900.0,-4.583333333333334
2021-12-05,2021-12-05 16:17:00,2021-12-05 18:16:00,120.0,2.0,1.0,977.0,-5.5
2021-12-06,2021-12-06 03:50:00,2021-12-06 11:00:00,431.0,7.183333333333334,0.9697674418604652,230.0,-0.31666666666666643
2021-12-07,2021-12-07 00:00:00,2021-12-07 08:41:00,521.0,8.683333333333334,0.9558541266794626,0.0,1.1833333333333336
2021-12-08,2021-12-08 02:30:00,2021-12-08 11:11:00,521.0,8.683333333333334,0.9501915708812261,150.0,1.1833333333333336
2021-12-09,2021-12-09 03:40:00,2021-12-09 11:50:00,490.0,8.166666666666666,0.9428571428571428,220.0,0.6666666666666661
2021-12-10,2021-12-10 02:52:00,2021-12-10 10:08:00,435.0,7.25,0.9105504587155964,172.0,-0.25
2021-12-11,2021-12-11 01:30:00,2021-12-11 10:56:00,567.0,9.45,0.9559082892416225,90.0,1.9499999999999993
2021-12-12,2021-12-12 02:20:00,2021-12-12 12:00:00,580.0,9.666666666666666,0.9810344827586207,140.0,2.166666666666666
2021-12-13,2021-12-13 02:13:00,2021-12-13 11:19:00,546.0,9.1,0.8752293577981651,133.0,1.5999999999999996
2021-12-14,2021-12-14 01:31:00,2021-12-14 09:51:00,500.0,8.333333333333334,0.966,91.0,0.8333333333333339
2021-12-15,2021-12-15 01:10:00,2021-12-15 10:30:00,559.0,9.316666666666666,0.9320214669051878,70.0,1.8166666666666664
2021-12-16,2021-12-16 01:01:00,2021-12-16 10:30:00,569.0,9.483333333333333,0.9295774647887324,61.0,1.9833333333333325
2021-12-17,2021-12-17 01:39:00,2021-12-17 10:04:00,504.0,8.4,0.9346534653465347,99.0,0.9000000000000004
2021-12-18,2021-12-18 00:53:00,2021-12-18 06:50:00,356.0,5.933333333333334,0.949438202247191,53.0,-1.5666666666666664
2021-12-19,,,,,,,
2021-12-20,2021-12-20 01:30:00,2021-12-20 10:06:00,516.0,8.6,0.9631782945736435,90.0,1.0999999999999996
2021-12-21,2021-12-21 01:21:00,2021-12-21 10:30:00,549.0,9.15,0.9690909090909091,81.0,1.6500000000000004
2021-12-22,2021-12-22 02:30:00,2021-12-22 09:57:00,447.0,7.45,0.9038031319910514,150.0,-0.04999999999999982
2021-12-23,2021-12-23 03:28:00,2021-12-23 09:47:00,379.0,6.316666666666666,0.9026315789473685,208.0,-1.1833333333333336
2021-12-24,2021-12-24 03:27:00,2021-12-24 11:00:00,453.0,7.55,0.9315673289183223,207.0,0.04999999999999982
2021-12-25,2021-12-25 02:36:00,2021-12-25 11:00:00,504.0,8.4,0.9444444444444444,156.0,0.9000000000000004
2021-12-26,,,,,,,
2021-12-27,2021-12-27 02:00:00,2021-12-27 09:42:00,462.0,7.7,0.9675324675324676,120.0,0.20000000000000018
2021-12-28,2021-12-28 01:02:00,2021-12-28 10:30:00,568.0,9.466666666666667,0.9524647887323944,62.0,1.9666666666666668
2021-12-29,2021-12-29 01:16:00,2021-12-29 10:30:00,553.0,9.216666666666667,0.9367088607594937,76.0,1.7166666666666668
2021-12-30,2021-12-30 02:17:00,2021-12-30 10:17:00,480.0,8.0,0.9478079331941545,137.0,0.5
2021-12-31,2021-12-30 20:40:00,2021-12-31 11:00:00,860.0,14.333333333333334,0.8593023255813953,1240.0,6.833333333333334
2022-01-01,,,,,,,
2022-01-02,2022-01-02 01:24:00,2022-01-02 10:36:00,552.0,9.2,0.9909420289855072,84.0,1.6999999999999993
2022-01-03,2022-01-03 02:11:00,2022-01-03 10:30:00,498.0,8.3,0.9519038076152304,131.0,0.8000000000000007
2022-01-04,2022-01-04 02:04:00,2022-01-04 09:58:00,474.0,7.9,0.9704641350210971,124.0,0.40000000000000036
2022-01-05,2022-01-05 02:00:00,2022-01-05 10:11:00,492.0,8.2,0.9654471544715447,120.0,0.6999999999999993
2022-01-06,2022-01-05 21:44:00,2022-01-06 10:30:00,766.0,12.766666666666667,0.8067885117493473,1304.0,5.2666666666666675
2022-01-07,2022-01-07 01:00:00,2022-01-07 10:02:00,543.0,9.05,0.8784530386740331,60.0,1.5500000000000007
2022-01-08,2022-01-07 21:29:00,2022-01-08 09:49:00,740.0,12.333333333333334,0.9648648648648649,1289.0,4.833333333333334
2022-01-09,2022-01-08 20:39:00,2022-01-09 09:59:00,799.0,13.316666666666666,0.9799749687108886,1239.0,5.816666666666666
2022-01-10,2022-01-10 02:00:00,2022-01-10 09:39:00,459.0,7.65,0.9411764705882353,120.0,0.15000000000000036
2022-01-11,2022-01-11 01:46:00,2022-01-11 09:41:00,475.0,7.916666666666667,0.9831223628691983,106.0,0.41666666666666696
2022-01-12,2022-01-12 01:34:00,2022-01-12 09:34:00,480.0,8.0,0.9728601252609603,94.0,0.5
2022-01-13,2022-01-13 02:01:00,2022-01-13 09:17:00,437.0,7.283333333333333,0.9862700228832952,121.0,-0.21666666666666679
2022-01-14,2022-01-14 02:00:00,2022-01-14 09:36:00,457.0,7.616666666666666,0.918859649122807,120.0,0.11666666666666625
2022-01-15,,,,,,,
2022-01-16,2022-01-16 03:45:00,2022-01-16 11:30:00,464.0,7.733333333333333,0.9892241379310345,225.0,0.2333333333333334
2022-01-17,2022-01-17 02:54:00,2022-01-17 10:30:00,455.0,7.583333333333333,0.9560439560439561,174.0,0.08333333333333304
2022-01-18,2022-01-18 01:43:00,2022-01-18 09:57:00,494.0,8.233333333333333,0.9655870445344129,103.0,0.7333333333333325
2022-01-19,2022-01-19 01:30:00,2022-01-19 10:45:00,555.0,9.25,0.9621621621621622,90.0,1.75
2022-01-20,2022-01-20 00:30:00,2022-01-20 10:30:00,600.0,10.0,0.9516666666666667,30.0,2.5
2022-01-21,2022-01-21 02:30:00,2022-01-21 10:09:00,460.0,7.666666666666667,0.967391304347826,150.0,0.16666666666666696
2022-01-22,,,,,,,
2022-01-23,2022-01-23 03:13:00,2022-01-23 11:21:00,488.0,8.133333333333333,0.9876796714579056,193.0,0.6333333333333329
2022-01-24,2022-01-23 23:52:00,2022-01-24 10:00:00,608.0,10.133333333333333,0.8865131578947368,1432.0,2.633333333333333
2022-01-25,2022-01-25 01:59:00,2022-01-25 10:30:00,511.0,8.516666666666667,0.9862745098039216,119.0,1.0166666666666675
2022-01-26,,,,,,,
2022-01-27,2022-01-27 03:09:00,2022-01-27 11:30:00,501.0,8.35,0.974,189.0,0.8499999999999996
2022-01-28,2022-01-28 03:19:00,2022-01-28 10:00:00,400.0,6.666666666666667,0.955,199.0,-0.833333333333333
2022-01-29,2022-01-29 03:46:00,2022-01-29 12:30:00,524.0,8.733333333333333,0.950381679389313,226.0,1.2333333333333325
2022-01-30,2022-01-30 03:37:00,2022-01-30 11:42:00,485.0,8.083333333333334,0.9237113402061856,217.0,0.5833333333333339
2022-01-31,2022-01-31 01:25:00,2022-01-31 10:00:00,514.0,8.566666666666666,0.9280155642023347,85.0,1.0666666666666664
2022-02-01,2022-02-01 03:07:00,2022-02-01 10:19:00,431.0,7.183333333333334,0.9907192575406032,187.0,-0.31666666666666643
2022-02-02,2022-02-02 03:46:00,2022-02-02 10:00:00,374.0,6.233333333333333,0.9759358288770054,226.0,-1.2666666666666666
2022-02-03,2022-02-03 01:51:00,2022-02-03 12:53:00,661.0,11.016666666666667,0.9712556732223904,111.0,3.5166666666666675
2022-02-04,2022-02-04 01:30:00,2022-02-04 10:00:00,510.0,8.5,0.9686274509803922,90.0,1.0
2022-02-05,2022-02-05 01:31:00,2022-02-05 11:30:00,599.0,9.983333333333333,0.9381270903010034,91.0,2.4833333333333325
2022-02-06,2022-02-06 03:09:00,2022-02-06 11:30:00,501.0,8.35,0.93812375249501,189.0,0.8499999999999996
2022-02-07,2022-02-07 02:50:00,2022-02-07 10:00:00,429.0,7.15,0.9766899766899767,170.0,-0.34999999999999964
2022-02-08,2022-02-08 02:30:00,2022-02-08 09:10:00,401.0,6.683333333333334,0.972568578553616,150.0,-0.8166666666666664
2022-02-09,2022-02-09 02:21:00,2022-02-09 10:00:00,459.0,7.65,0.9847494553376906,141.0,0.15000000000000036
2022-02-10,2022-02-10 05:31:00,2022-02-10 10:38:00,307.0,5.116666666666666,0.9446254071661238,331.0,-2.3833333333333337
2022-02-11,2022-02-11 02:23:00,2022-02-11 10:28:00,485.0,8.083333333333334,0.9072164948453608,143.0,0.5833333333333339
2022-02-12,2022-02-12 08:11:00,2022-02-12 11:10:00,179.0,2.9833333333333334,0.8603351955307262,491.0,-4.516666666666667
2022-02-13,,,,,,,
2022-02-14,2022-02-14 02:50:00,2022-02-14 10:54:00,483.0,8.05,0.979296066252588,170.0,0.5500000000000007
2022-02-15,2022-02-15 02:37:00,2022-02-15 10:16:00,459.0,7.65,0.9868995633187773,157.0,0.15000000000000036
2022-02-16,2022-02-16 02:56:00,2022-02-16 10:01:00,425.0,7.083333333333333,0.9929245283018868,176.0,-0.41666666666666696
2022-02-17,2022-02-17 03:16:00,2022-02-17 10:36:00,440.0,7.333333333333333,0.9681818181818181,196.0,-0.16666666666666696
2022-02-18,2022-02-18 02:25:00,2022-02-18 09:49:00,444.0,7.4,0.9617977528089887,145.0,-0.09999999999999964
2022-02-19,2022-02-19 02:45:00,2022-02-19 10:30:00,464.0,7.733333333333333,0.9333333333333333,165.0,0.2333333333333334
2022-02-20,,,,,,,
2022-02-21,2022-02-21 02:30:00,2022-02-21 10:52:00,503.0,8.383333333333333,0.9661354581673307,150.0,0.8833333333333329
2022-02-22,2022-02-22 02:00:00,2022-02-22 09:30:00,449.0,7.483333333333333,0.9532293986636972,120.0,-0.016666666666666607
2022-02-23,2022-02-23 03:00:00,2022-02-23 10:00:00,420.0,7.0,0.9261904761904762,180.0,-0.5
2022-02-24,,,,,,,
2022-02-25,2022-02-25 02:00:00,2022-02-25 11:55:00,596.0,9.933333333333334,0.8689075630252101,120.0,2.4333333333333336
2022-02-26,,,,,,,
2022-02-27,2022-02-27 03:14:00,2022-02-27 10:59:00,465.0,7.75,0.9698275862068966,194.0,0.25
2022-02-28,2022-02-28 03:35:00,2022-02-28 10:00:00,384.0,6.4,0.984375,215.0,-1.0999999999999996
2022-03-01,2022-03-01 03:16:00,2022-03-01 10:01:00,405.0,6.75,0.9827160493827161,196.0,-0.75
2022-03-02,2022-03-02 03:30:00,2022-03-02 10:00:00,390.0,6.5,0.9538461538461539,210.0,-1.0
2022-03-03,2022-03-03 03:18:00,2022-03-03 10:13:00,415.0,6.916666666666667,0.9734939759036144,198.0,-0.583333333333333
2022-03-04,2022-03-04 03:00:00,2022-03-04 10:30:00,450.0,7.5,0.9688888888888889,180.0,0.0
2022-03-05,2022-03-05 09:54:00,2022-03-05 11:30:00,95.0,1.5833333333333333,0.8736842105263158,594.0,-5.916666666666667
2022-03-06,2022-03-06 10:07:00,2022-03-06 12:30:00,143.0,2.3833333333333333,0.9929577464788732,607.0,-5.116666666666667
2022-03-07,,,,,,,
2022-03-08,2022-03-08 02:27:00,2022-03-08 10:05:00,458.0,7.633333333333334,0.9868995633187773,147.0,0.13333333333333375
2022-03-09,2022-03-09 03:30:00,2022-03-09 11:30:00,480.0,8.0,0.9645833333333333,210.0,0.5
2022-03-10,2022-03-10 03:08:00,2022-03-10 10:30:00,441.0,7.35,0.9659863945578231,188.0,-0.15000000000000036
